"","color_position","Participant_ID","Condition","condition_str","participant_number","trials_gen.thisTrialN","gen_response_color_index_in_orig_colorbar_space","gen_response_distance_idx","gen_response_distance_dE","gen_signed_distance_idx","trial_within_test_color","idx_for_graph","exemplar_position","color_to_prototype_distance_idx","color_to_prototype_de"
"1",10,"SU23_1000",1,"Light Far",1000,0,224,214,94.6471964828548,214,1,6,52,-42,15
"2",203,"SU23_1000",1,"Light Far",1000,1,203,0,0,0,1,199,226,-23,15
"3",158,"SU23_1000",1,"Light Far",1000,2,141,17,10.3464885153762,-17,1,154,158,0,0
"4",29,"SU23_1000",1,"Light Far",1000,3,49,20,6.19817374288961,20,1,25,52,-23,7
"5",10,"SU23_1000",1,"Light Far",1000,4,86,76,25.0957303377746,76,2,8,52,-42,15
"6",123,"SU23_1000",1,"Light Far",1000,5,175,52,29.8345202873169,52,1,119,93,30,15
"7",203,"SU23_1000",1,"Light Far",1000,6,223,20,13.1034919601396,20,2,201,226,-23,15
"8",158,"SU23_1000",1,"Light Far",1000,7,159,1,0.583524781404395,1,2,156,158,0,0
"9",52,"SU23_1000",1,"Light Far",1000,8,39,13,4.07538548350744,-13,1,48,52,0,0
"10",185,"SU23_1000",1,"Light Far",1000,9,216,31,19.0863478510288,31,1,181,158,27,15
"11",146,"SU23_1000",1,"Light Far",1000,10,159,13,7.82389027389358,13,1,142,158,-12,7
"12",251,"SU23_1000",1,"Light Far",1000,11,223,28,15.2097725315521,-28,1,247,226,25,15
"13",216,"SU23_1000",1,"Light Far",1000,12,217,1,0.664428961246374,1,1,212,226,-10,7
"14",76,"SU23_1000",1,"Light Far",1000,13,69,7,2.69656756232991,-7,1,72,93,-17,7
"15",108,"SU23_1000",1,"Light Far",1000,14,69,39,16.678678624075,-39,1,104,93,15,7
"16",226,"SU23_1000",1,"Light Far",1000,15,220,6,4.00254600606027,-6,1,222,226,0,0
"17",241,"SU23_1000",1,"Light Far",1000,16,216,25,12.8281701992511,-25,1,237,226,15,7
"18",185,"SU23_1000",1,"Light Far",1000,17,216,31,19.0863478510288,31,2,183,158,27,15
"19",108,"SU23_1000",1,"Light Far",1000,18,58,50,20.4686818606781,-50,2,106,93,15,7
"20",216,"SU23_1000",1,"Light Far",1000,19,210,6,3.95515940378968,-6,2,214,226,-10,7
